formation_wave_block_id,missing_office_number_candidate,gap_confidence,likely_2025_2026_wave,wave_detection_method,companies_house_search_link,lookup_priority
nan_nan_nan_nan,954,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20954%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,15.0
nan_nan_nan_nan,955,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20955%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,14.0
nan_nan_nan_nan,961,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20961%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,13.0
nan_nan_nan_nan,968,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20968%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,12.0
nan_nan_nan_nan,969,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20969%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,11.0
nan_nan_nan_nan,973,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20973%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,10.0
nan_nan_nan_nan,984,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20984%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,9.0
nan_nan_nan_nan,989,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20989%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,8.0
nan_nan_nan_nan,990,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20990%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,7.0
nan_nan_nan_nan,993,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20993%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,6.0
nan_nan_nan_nan,994,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20994%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,5.0
nan_nan_nan_nan,995,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20995%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,4.0
nan_nan_nan_nan,1006,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%201006%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,3.0
nan_nan_nan_nan,1007,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%201007%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,2.0
nan_nan_nan_nan,1008,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%201008%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,1.0
