Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
934,,,,"Office 934, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20934%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,32.0,True,office_number_high_range_sequence_inference,pending,
935,,,,"Office 935, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20935%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,31.0,True,office_number_high_range_sequence_inference,pending,
936,,,,"Office 936, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20936%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,30.0,True,office_number_high_range_sequence_inference,pending,
937,,,,"Office 937, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20937%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,29.0,True,office_number_high_range_sequence_inference,pending,
938,,,,"Office 938, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20938%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,28.0,True,office_number_high_range_sequence_inference,pending,
939,,,,"Office 939, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20939%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,27.0,True,office_number_high_range_sequence_inference,pending,
940,,,,"Office 940, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20940%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,26.0,True,office_number_high_range_sequence_inference,pending,
941,,,,"Office 941, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20941%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,25.0,True,office_number_high_range_sequence_inference,pending,
942,,,,"Office 942, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20942%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,24.0,True,office_number_high_range_sequence_inference,pending,
943,,,,"Office 943, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20943%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,23.0,True,office_number_high_range_sequence_inference,pending,
